Manager,Fund,1,2,3,4,5
30000000000000020925,001210,977.76 ,619.37 ,1339.61 ,1631.92 ,806.45 
30000000000000016012,001242,1165.93 ,934.93 ,990.28 ,349.54 ,200.38 
30000000000000016161,001245,1297.99 ,777.62 ,1004.22 ,1246.05 ,5789.69 
30000000000000024792,001252,60.57 ,46.09 ,37.18 ,56.23 ,30.97 
30000000000000014777,001280,386.47 ,314.77 ,574.37 ,813.80 ,438.78 
30000000000000072235,001309,880.96 ,1100.32 ,1231.35 ,1219.34 ,5268.41 
30000000000000018427,001313,1815.82 ,1127.28 ,1788.62 ,1007.87 ,644.26 
30391651,001316,101.23 ,43.56 ,4060.63 ,2538.91 ,15295.61 
30000000000000015502,001323,254.39 ,103.71 ,98.56 ,77.69 ,89.32 
30000000000000022104,001335,323.27 ,90.34 ,182.30 ,678.01 ,489.49 
30000000000000026898,001344,146.98 ,230.46 ,188.96 ,252.72 ,303.51 
30000000000000020537,001351,131.27 ,84.64 ,105.03 ,93.34 ,51.32 
30382534,001370,283.33 ,185.64 ,409.15 ,728.89 ,429.41 
30000000000000018975,001398,779.59 ,464.80 ,567.56 ,272.42 ,208.71 
30381011,001405,886.06 ,287.43 ,571.33 ,963.29 ,1193.83 
30000000000000017578,001405,886.06 ,287.43 ,571.33 ,963.29 ,1193.83 
30378912,001410,551.60 ,798.40 ,2970.42 ,12576.48 ,17477.49 
30383013,001416,6708.14 ,3624.96 ,4484.09 ,2476.16 ,1524.53 
30000000000000016862,001417,12896.05 ,7156.12 ,6486.26 ,5432.28 ,4797.70 
30000000000000023671,001470,1075.86 ,1096.41 ,1381.78 ,725.89 ,633.51 
30380099,001480,846.07 ,452.06 ,1583.28 ,2135.38 ,1358.28 
30000000000000018427,001482,96.37 ,57.39 ,64.39 ,69.55 ,53.55 
30000000000000016671,001490,998.66 ,508.97 ,605.38 ,851.84 ,983.40 
30000000000000019355,001499,208.32 ,70.10 ,209.29 ,383.41 ,462.87 
30000000000000019355,001520,225.75 ,51.93 ,154.23 ,212.37 ,26.42 
30379471,001538,74.71 ,48.44 ,311.40 ,4935.79 ,5718.32 
30000000000000097421,001564,3236.31 ,2170.35 ,1567.23 ,776.66 ,1147.35 
30000000000000022104,001566,108.26 ,41.08 ,291.51 ,757.51 ,647.86 
30000000000000022104,001570,829.15 ,402.87 ,449.48 ,568.08 ,720.76 
