Manager,NAME,Uni,Frim,degree,major,DB
30000000000000024792,许定晴,苏州大学,中海基金,硕士研究生,金融学,1
30000000000000014777,孙蓓琳,中山大学,银华基金,硕士研究生,经济学,1
30000000000000072235,纪文静,江苏大学,东证资管,硕士研究生,经济学,1
30000000000000018427,郭晨,四川大学,上投摩根基金,硕士研究生,技术经济及管理,1
30391651,李君,东北财经大学,安信基金,硕士研究生,工商管理,1
30000000000000015502,刘元海,同济大学,东吴基金,博士研究生,管理学,1
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30000000000000026898,余海燕,复旦大学,易方达基金,硕士研究生,数量经济学,1
30000000000000020537,梅律吾,上海财经大学,诺安基金,硕士研究生,货币银行学,1
30382534,杨成,上海财经大学,中银基金,硕士研究生,管理学,1
30000000000000018975,吕慧建,新加坡国立大学,华泰柏瑞基金,硕士研究生,"MBA,经济学",1
30381011,孔令超,北京大学,东证资管,硕士研究生,金融学,1
30000000000000017578,徐觅,复旦大学,东证资管,硕士研究生,工商管理,1
30378912,冯明远,浙江大学,信达澳亚基金,硕士研究生,计算机科学与技术,0
30383013,张自力,中国科学技术大学,嘉实基金,博士研究生,理论物理学,0
30000000000000016862,刘江,清华大学,汇添富基金,硕士研究生,工学,0
30000000000000023671,余志勇,武汉大学,融通基金,硕士研究生,金融学,1
30380099,金梓才,上海交通大学,财通基金,硕士研究生,微电子学,0
30000000000000018427,郭晨,四川大学,上投摩根基金,硕士研究生,技术经济及管理,1
30000000000000016671,李威,清华大学,汇添富基金,硕士研究生,工学,0
30000000000000019355,桑俊,武汉大学,国投瑞银基金,博士研究生,经济学,1
30000000000000019355,桑俊,武汉大学,国投瑞银基金,博士研究生,经济学,1
30379471,李德辉,上海交通大学,上投摩根基金,博士研究生,生物医学工程,0
30000000000000097421,周云,清华大学,东证资管,博士研究生,生物学,0
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30000000000000015075,李达夫,中山大学,国投瑞银基金,硕士研究生,数量经济学,1
30382111,徐成,朴茨茅斯大学,国海富兰克林基金,硕士研究生,金融决策分析,1
30000000000000013638,刘斌,中国科学院,嘉实基金,博士研究生,工学,0
30000000000000016030,王筱苓,清华大学,工银瑞信,硕士研究生,工商管理,1
30000000000000021919,林乐峰,北京大学,南方基金,硕士研究生,理学,0
30000000000000016814,杨瑨,清华大学,汇添富基金,硕士研究生,工程学,0
30000000000000021922,曲扬,中央财经大学,前海开源基金,硕士研究生,经济学,1
30378898,甘传琦,北京大学,中融基金,硕士研究生,金融学,1
30391651,李君,东北财经大学,安信基金,硕士研究生,工商管理,1
30000000000000016161,何肖颉,财政部财政科研所研究生部,工银瑞信,硕士研究生,经济学,1
30000000000000016564,张洋,宾夕法尼亚大学,工银瑞信,博士研究生,电子工程,0
30382504,赵鹏飞,北京大学,汇添富基金,硕士研究生,经济学,1
30000000000000016842,刘伟林,北京大学,汇添富基金,硕士研究生,经济学,1
30000000000000023475,倪明,厦门大学,银华基金,博士研究生,经济学,1
30000000000000036697,范妍,复旦大学,圆信永丰基金,硕士研究生,管理学,1
30380233,林英睿,北京大学,广发基金,硕士研究生,经济学,1
30379284,李炳智,南开大学,前海开源基金,硕士研究生,金融学,1
30000000000000023275,王浩,中央财经大学,银华基金,硕士研究生,证券投资,1
30415976,周紫光,大连理工大学,中信建投基金,硕士研究生,工学,0
30000000000000024384,曹名长,上海财经大学,中欧基金,硕士研究生,经济学,1
30000000000000021922,曲扬,中央财经大学,前海开源基金,硕士研究生,经济学,1
30000000000000019278,李轩,英国利兹大学,国投瑞银基金,硕士研究生,管理学,1
30000000000000018234,陶灿,北京大学,建信基金,硕士研究生,金融学,1
