Manager,NAME,Fund,CategoryID,Firm,Return,Year,age,size,dc
30000000000000019720,徐猛,000071.OF,1,华夏基金,-0.172916667,1,7.032876712,779.25,0.198601 
30000000000000020498,荣膺,001052.OF,1,华夏基金,-0.305847076,1,6.2,710.49,0.264336 
30000000000000022082,章晖,000527.OF,4,南方基金,-0.175019889,1,7.6,1320,0.023077 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,0.023764794,1,9.419178082,392.5,0.198601 
30381532,盛豪,000877.OF,4,华泰柏瑞基金,-0.234161548,1,7.221917808,1416.93,0.264336 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.283848797,1,7.654794521,473.24,0.264336 
30382645,张跃鹏,001110.OF,4,中欧基金,0.039387005,1,6.97260274,2.67,0.023077 
30000000000000025372,周蔚文,001117.OF,4,中欧基金,-0.221525601,1,6.084931507,1645.44,0.000699 
30000000000000021818,李君,001122.OF,4,鹏华基金,0.013875387,1,7.616438356,920.8,0.264336 
30382645,张跃鹏,001110.OF,4,中欧基金,0.024706083,1,6.97260274,2.1,0.023077 
30000000000000023935,张鹏,001150.OF,4,融通基金,-0.246031746,1,7.345205479,2101.94,0.024476 
30000000000000022241,吴华,001170.OF,4,宏利基金,-0.316793893,1,7.701369863,1560.61,0.198601 
30381341,邱杰,001178.OF,1,前海开源基金,-0.157079646,1,7.62739726,791.98,0.264336 
30243212,黎莹,001179.OF,4,德邦基金,-0.163172607,1,7.580821918,259.06,0.264336 
30000000000000021818,李君,001122.OF,4,鹏华基金,0.020801714,1,7.616438356,1304.19,0.264336 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.015846539,1,7.471232877,755.92,0.264336 
30000000000000020925,陈国光,001210.OF,4,天弘基金,-0.272874852,1,6.860273973,977.76,0.189510 
30000000000000016012,桂征辉,001242.OF,1,博时基金,-0.283986995,1,7.452054795,1165.93,0.641958 
30000000000000016161,何肖颉,001008.OF,1,工银瑞信,-0.305626598,1,7.931506849,1297.99,0.641958 
30000000000000024792,许定晴,001252.OF,4,中海基金,-0.220415537,1,6.42739726,60.57,0.198601 
30000000000000014777,孙蓓琳,001280.OF,4,银华基金,-0.229700073,1,5.147945205,386.47,0.264336 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.010662605,1,7.471232877,880.96,0.264336 
30000000000000018427,郭晨,001313.OF,1,上投摩根基金,-0.337333333,1,7.567123288,1815.82,0.641958 
30391651,李君,001316.OF,4,安信基金,0.050050471,1,5.016438356,101.23,#N/A
30000000000000015502,刘元海,001323.OF,4,东吴基金,-0.296903461,1,6.682191781,254.39,0.264336 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.017376195,1,7.180821918,323.27,0.198601 
30000000000000026898,余海燕,000950.OF,1,易方达基金,-0.177350639,1,7.945205479,146.98,0.024476 
30000000000000020537,梅律吾,001351.OF,1,诺安基金,-0.318871252,1,7.567123288,131.27,0.264336 
30382534,杨成,001370.OF,4,中银基金,-0.042513863,1,7.276712329,283.33,0.198601 
30000000000000018975,吕慧建,001398.OF,4,华泰柏瑞基金,-0.295823666,1,7.542465753,779.59,0.264336 
30381011,孔令超,001405.OF,4,东证资管,0.009957572,1,6.408219178,886.06,0.264336 
30000000000000017578,孔令超,001405.OF,4,东证资管,0.009957572,1,6.408219178,886.06,0.264336 
30378912,冯明远,001410.OF,1,信达澳亚基金,-0.158142665,1,6.202739726,551.6,0.641958 
30383013,张自力,000043.OF,1,嘉实基金,-0.343638526,1,9.553424658,6708.14,0.023077 
30000000000000016862,刘江,001417.OF,4,汇添富基金,-0.084946237,1,7.542465753,12896.05,0.264336 
30000000000000023671,余志勇,001470.OF,4,融通基金,0.027803522,1,7.550684932,1075.86,0.024476 
30380099,金梓才,001480.OF,4,财通基金,-0.230605739,1,7.512328767,846.07,0.264336 
30000000000000018427,郭晨,001313.OF,1,上投摩根基金,-0.307760928,1,7.567123288,96.37,0.641958 
30000000000000016671,李威,001490.OF,1,汇添富基金,-0.333333333,1,7.482191781,998.66,0.264336 
30000000000000019355,桑俊,001499.OF,4,国投瑞银基金,0.01580756,1,6.583561644,208.32,0.264336 
30000000000000019355,桑俊,001499.OF,4,国投瑞银基金,-0.246753247,1,6.583561644,225.75,0.264336 
30379471,李德辉,001538.OF,4,上投摩根基金,-0.203420342,1,6.120547945,74.71,0.264336 
30000000000000097421,周云,000480.OF,4,东证资管,-0.222146739,1,7.301369863,3236.31,0.000699 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,0.030414747,1,7.180821918,108.26,0.198601 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.006628788,1,7.180821918,829.15,0.198601 
30000000000000015075,李达夫,001584.OF,4,国投瑞银基金,0.035799087,1,5.046575342,0.04,0.264336 
30382111,徐成,000934.OF,4,国海富兰克林基金,-0.1607298,1,7.024657534,101.33,0.198601 
30000000000000013638,刘斌,001637.OF,1,嘉实基金,-0.270099368,1,7.071232877,412.72,0.264336 
30000000000000016030,王筱苓,001651.OF,1,工银瑞信,-0.166907514,1,7.408219178,401,0.198601 
30000000000000021919,林乐峰,001667.OF,4,南方基金,-0.215935335,1,5.046575342,523.34,0.264336 
30000000000000016814,杨瑨,001668.OF,4,汇添富基金,-0.061428571,1,5.934246575,276.6,0.044755 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.02850062,1,7.654794521,8.36,0.264336 
30378898,甘传琦,001701.OF,4,中融基金,-0.283887468,1,5.575342466,57.18,0.641958 
30391651,李君,001316.OF,4,安信基金,0.02889096,1,5.016438356,612.22,#N/A
