Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
833075.BJ,0,0,0,0,0.634235926,0,0,0,0,609.261,0,0,0,0,-0.203389831
833171.BJ,0,0,0,0,0.60760929,0,0,0,0,2338.265377,0,0,0,0,-0.190384615
833230.BJ,0,0,0,0,0.50936465,0,0,0,0,766.1461225,0,0,0,0,-0.20859375
833266.BJ,0,0,0.661476858,0.56792531,1.161984115,0,0,1541.12,1876.48,870.4,0,0,-0.139385275,0.251457475,-0.536152797
833346.BJ,0,0,0,0,0.73720576,0,0,0,0,565.585047,0,0,0,0,-0.208337333
833427.BJ,0,0,0,0.38966584,0.689027254,0,0,0,916.30836,520.62975,0,0,0,0.286261463,-0.407409091
833429.BJ,0,0,0,0,0.836583899,0,0,0,0,883.95,0,0,0,0,-0.1125
833454.BJ,0,0,0,0.203607677,0.47966284,0,0,0,1433.564,615.886,0,0,0,2.453164557,-0.561488123
833509.BJ,0,0,0,0.136966242,0.221500151,0,0,0,2179.287899,1476.799388,0,0,0,2.334906498,-0.325500195
833523.BJ,0,0,0,0.177829121,0.443700875,0,0,0,2232.526325,927.297147,0,0,0,1.962771458,-0.578494939
833533.BJ,0,0,0,0,0.291352275,0,0,0,0,908.592,0,0,0,0,0.3352352
833580.BJ,0,0,0,0,0.891780888,0,0,0,0,365.5,0,0,0,0,-0.076086957
833781.BJ,0,0,0,0,0.449601805,0,0,0,0,843.0930288,0,0,0,0,-0.092055485
833819.BJ,0,0,0.682464212,0.665110559,0.912836284,0,0,6717.384,7268.994,6484.482,0,0,0.005504587,0.111442153,-0.091244013
833873.BJ,0,0,0,0.453057996,0.858036853,0,0,0,1023.091303,500.0416265,0,0,0,0.482222222,-0.511244378
833914.BJ,0,0,0,0,0.818287061,0,0,0,0,1060,0,0,0,0,-0.345679012
833943.BJ,0,0,0,0,0.885053265,0,0,0,0,569.3006527,0,0,0,0,0.064756571
834014.BJ,0,0,0,0,0.638382546,0,0,0,0,1186.3008,0,0,0,0,-0.243510507
834021.BJ,0,0,0.53107242,0.346036827,0.692630791,0,0,1138.2,1918.349896,932.3999497,0,0,-0.245125348,0.73257646,-0.500979967
834033.BJ,0,0,0,0,0.264929364,0,0,0,0,1916.5752,0,0,0,0,0.451591063
834062.BJ,0,0,0,0,0.648373797,0,0,0,0,927.6669149,0,0,0,0,0.221757209
834415.BJ,0,0,0.723270387,0.654285556,0.951018626,0,0,671.9856966,778.0162266,542.5458288,0,0,-0.305832148,0.161491803,-0.295402478
834475.BJ,0,0,0.429351874,0.271773838,0.502169338,0,0,737.308,1187.1288,676.4472,0,0,0.316769038,0.643477837,-0.413942324
834599.BJ,0,0,0,0.395594264,0.63204405,0,0,0,4448.32075,3203.877,0,0,0,0.0076733,-0.24583235
834639.BJ,0,0,0,0,1.082982032,0,0,0,0,763.466668,0,0,0,0,-0.048837209
834682.BJ,0,0,0.802846546,0.653856702,0.944523557,0,0,1153.6,1468.48,1064.96,0,0,-0.184556923,0.3193681,-0.234973371
834765.BJ,0,0,0,0.463168974,0.793762538,0,0,0,705.8762662,420.4627858,0,0,0,0.165517241,-0.401122682
835174.BJ,0,0,0,0.265331764,0.836990147,0,0,0,2028.796504,687.6666055,0,0,0,2.139275766,-0.647556699
835179.BJ,0,0,0,0,0.473059482,0,0,0,0,1402.5,0,0,0,0,-0.065
