Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
600539.SH,狮头股份,-63.07,6.59,8.46,10.59,-21.99,1499.6,1867.6,1690.5,1561.7,3864,0.08,0.03,0.04,0.04,0.04
600540.SH,新赛股份,-28.52,10.69,39.86,9.51,-26.24,2651.08,2830.25,2580.66,1846.02,2278.57,0.04,0.03,0.03,0.04,0.04
600543.SH,*ST莫高,-34.14,-11.59,67.63,-27.19,-11.22,2016.63,2238.21,3053.85,1859.28,3146.98,0.03,0.02,0.02,0.03,0.02
600545.SH,卓郎智能,-33.28,-16.72,-42.73,-12.26,-3.17,5364.02,5705.19,6633.95,6824.67,7420.13,0.08,0.05,0.02,0.02,0.02
600546.SH,山煤国际,-32.72,114.12,34.12,-5.78,97.94,28725.79,16275.96,16870.7,13837.54,9674.39,0.02,0.01,0.02,0.02,0.02
600547.SH,山东黄金,-2.65,52.82,3.27,-19.9,3.45,69252.73,68023.82,77720.27,71649.71,45257.79,0.04,0.03,0.05,0.04,0.03
600548.SH,深高速,3.73,38.34,-17.77,18.16,-4.54,12870.77,14304.04,12727.44,16482.61,12870.77,0.01,0.01,0.01,0.01,0.01
600549.SH,厦门钨业,-39.27,9.4,29.71,36.9,-12.57,27585.27,31818.83,23691.88,18334.84,27839.71,0.04,0.02,0.03,0.03,0.04
600550.SH,保变电气,-41.92,-16.67,68.77,9.2,-19.48,8563.11,10294.14,7826.5,4726.59,8567.46,0.2,0.05,0.08,0.14,0.15
600551.SH,时代出版,-25.71,-2.99,-10.26,14.02,32.15,4930.43,4031.43,3722.87,4147.77,5938.39,0.01,0.01,0.01,0.01,0.01
600552.SH,凯盛科技,-51.19,62.09,18.97,72.91,-22.85,7058.29,8952.72,5255.52,4491.64,5460.39,0.02,0.01,0.02,0.02,0.03
600556.SH,天下秀,-11.44,98.41,8.5,1.43,-45.5,7191.15,13176.66,4411.73,4233.87,2763.56,0.43,0.38,-4.56,0.07,0.06
600557.SH,康缘药业,-23.96,45.54,-29.42,20.9,63.17,10808.04,7256.86,6029.6,8474.96,8068.2,0.02,0.02,0.02,0.01,0.02
600558.SH,大西洋,-48.38,3.97,-1.59,18.29,-11.31,2827.46,3312.16,2845.41,2926.19,5421.53,0.03,0.01,0.02,0.01,0.02
600559.SH,老白干酒,-44.68,20.33,189.79,-9.93,-2.1,24702.32,25070.21,27599.25,9269.49,10839.5,0.08,0.03,0.03,0.08,0.07
600560.SH,金自天正,-22.63,8.21,4.78,12.11,-2.56,2164.89,2205.14,2021.76,1945.72,2325.91,0.03,0.02,0.03,0.03,0.03
600561.SH,江西长运,-34.1,8.08,-22.76,12.08,19.36,1412.9,1192.43,1066.79,1384.45,1943.92,0.01,0.01,0.01,0.01,0.01
600562.SH,国睿科技,-30.69,11.86,19.87,11.81,-6.88,11199.52,12144.37,10592.41,8924.51,7866.78,0.07,0.05,0.05,0.05,0.05
600563.SH,法拉电子,-15.45,21.63,124.55,121.11,-29.71,35973,52290,24198.75,11126.25,11432.25,0.05,0.04,0.05,0.09,0.17
600565.SH,迪马股份,-33.8,49.24,-20.61,-8.2,-11.04,5381.65,6079.28,6558.49,8480.22,9464.44,0.01,0.01,0.01,0.01,0.01
600566.SH,济川药业,-10.71,-25.72,-8.83,45.67,9.06,24926.66,25173.66,16485.98,19704.82,30887.16,0.08,0.05,0.03,0.02,0.03
600567.SH,山鹰国际,-26.41,21.4,-21.19,11.27,-21.91,11448.12,15187.19,13878.72,17284.41,19752.44,0.02,0.01,0.01,0.01,0.01
600568.SH,ST中珠,-71.47,-23.74,-20.08,41.16,-3.18,2942.1,3067.3,2175.28,2738.66,12159.65,0.03,0.01,0.01,0.01,0.01
600569.SH,安阳钢铁,-36.34,-13.39,4.81,20.19,-27.38,5945.91,7157.12,6103.9,6103.9,11250.32,0.02,0.01,0.01,0.01,0.01
600570.SH,恒生电子,12.94,98.38,79.52,-14.28,-15.08,76874.26,90835.98,109525.12,62428.6,28666.16,0.1,0.1,0.16,0.29,0.2
600571.SH,信雅达,-41.96,58.99,-19.34,75.25,-24.52,4108.81,5271.9,3264.79,4108.49,4535.36,0.04,0.02,0.04,0.04,0.05
600572.SH,康恩贝,-14.71,6.23,-22.36,6.31,2.13,12124.39,12816.48,12531.32,16362.56,14548.21,0.04,0.03,0.03,0.02,0.02
600573.SH,惠泉啤酒,-31.12,6.12,82.94,-14.67,13.26,2742.5,2527.5,2922.5,1660,2270,0.02,0.01,0.01,0.03,0.02
600575.SH,淮河能源,-48.37,21.22,-6.23,2.63,-1.26,9365.89,9327.03,9016.13,9987.69,12656.79,0.02,0.01,0.01,0.01,0.01
600576.SH,祥源文旅,-45.38,16.86,-27.5,43.74,57.23,4942.83,3115.59,2217.46,2571.54,3627.32,0.03,0.01,0.02,0.02,0.03
600577.SH,精达股份,-20.06,-7.03,19.24,147.37,-43.93,8462.18,14848.04,5975.57,5245.44,7352.02,0.03,0.02,0.02,0.02,0.03
600578.SH,京能电力,-19.79,9.43,1.12,15.02,-4.54,21754.67,22457.39,20375.14,16645.28,17084.09,0.01,0.01,0.01,0.01,0.01
600579.SH,克劳斯,-44.68,-19.72,-25.26,64.22,-21.23,3146,3269.54,2018.94,2729.48,6015.82,0.05,0.03,0.01,0.01,0.01
600580.SH,卧龙电驱,-20.8,97.25,31.53,19.08,-32.47,16301.31,23874.86,20398.49,15513.06,8895.32,0.02,0.01,0.02,0.03,0.03
600581.SH,八一钢铁,-48.85,0,11.3,63.64,-37.57,6070.28,9519.3,5871,5457.12,10469.69,0.03,0.01,0.01,0.01,0.01
600582.SH,天地科技,-26.22,-5.54,-0.47,47.24,29.01,21520.66,18127.02,12746.85,13202.1,12900.66,0.01,0.01,0.01,0.01,0.01
600583.SH,海油工程,-20.13,53.52,-37.36,7.3,34.62,26793.41,20382.45,19851.88,32629.6,27191.33,0.01,0.01,0.01,0.01,0.01
600584.SH,长电科技,-62.36,173.26,96.67,-24.98,-25.12,41018.7,55201.73,57888.56,22769.41,21000.88,0.03,0.01,0.03,0.05,0.03
600585.SH,海螺水泥,3.4,98.5,1.48,-18.19,-28.35,109511.86,161188.01,206464.65,219183.7,117311.28,0.02,0.01,0.02,0.02,0.01
600586.SH,金晶科技,-37.48,3.91,129.51,54.42,1.21,12444.59,13230.41,9287.01,4114.86,6522.44,0.02,0.01,0.01,0.02,0.02
600587.SH,新华医疗,-22.48,9.9,0.96,132.06,-29.7,8642.26,12991.63,5737.3,5761.5,6774.21,0.02,0.02,0.01,0.01,0.03
600588.SH,用友网络,32.5,77.29,106.29,-14.66,-33.19,82585.82,116301.61,142608.27,70791.92,30477.99,0.06,0.07,0.11,0.22,0.18
600589.SH,*ST榕泰,-32.63,34.87,-41.7,-31.3,-9.13,1443.27,1591.12,2295.15,3829.94,3806.41,0.01,0.01,0.01,0.01,0.02
600590.SH,泰豪科技,-34.37,8.18,-1.72,49.65,-30.89,4901.14,6976.32,4807.63,4913.1,5447.95,0.02,0.01,0.01,0.01,0.02
600592.SH,龙溪股份,-45.09,199.28,-32.01,1.66,-31.82,2776.9,4135.38,4147.37,6189.08,3899.64,0.02,0.01,0.03,0.02,0.02
600593.SH,大连圣亚,34.81,66.07,-57.76,-35.65,37.31,2156.11,1576.51,2408.56,5597.65,2552.08,0.05,0.06,0.1,0.04,0.03
600594.SH,益佰制药,-46.63,-10.01,19.57,61.08,-28.39,4379.36,6438.37,4133.86,3943.8,8093.5,0.02,0.01,0.01,0.01,0.02
600595.SH,中孚实业,-64.78,13.75,6.59,93.97,-30.45,11767.34,17298,4040.37,3831.39,9317.24,0.02,0.01,0.01,0.01,0.02
600596.SH,新安股份,18.36,-3.58,16.1,140.29,-11.77,15583.1,18372.41,7593.54,6837.13,6234.91,0.01,0.01,0.01,0.02,0.03
600597.SH,光明乳业,-45,54.9,32.89,-12.68,-25.36,13974.14,17776.87,19907.15,15536.39,18548.18,0.04,0.02,0.03,0.03,0.03
600598.SH,北大荒,-18.96,18.41,107.09,-19.85,-2,24460.88,25883.02,34220.34,17314.6,19163.39,0.03,0.02,0.03,0.05,0.04
600599.SH,ST熊猫,-52.99,4.16,-55.69,79.49,81.45,2322.34,1366.18,778.54,1746.32,3504.26,0.05,0.02,0.03,0.01,0.02
600600.SH,青岛啤酒,-10.76,49.35,99.31,0.21,8.44,75279.35,68895.45,69173.81,35491.59,27370.28,0.03,0.03,0.03,0.06,0.06
600601.SH,*ST方科,-31.5,47.06,8.99,-39.21,19.02,10967.87,5333.59,8713.72,8033.3,7989.4,0.02,0.02,0.03,0.05,0.25
600602.SH,云赛智联,-27.11,68.86,-32.45,18.16,36.87,10362.44,7820.93,6897.06,9764.18,7306.38,0.02,0.02,0.03,0.02,0.02
600603.SH,广汇物流,-16.04,29.88,7.37,-11.7,112.58,10264.43,4974.55,6033.63,2526.61,1844.82,0.01,0.01,0.01,0.01,0.01
600604.SH,市北高新,7.53,15.52,-26.69,-18.61,-7.4,7793.14,8413.43,10319.63,13718,9250.4,0.02,0.02,0.03,0.02,0.02
600605.SH,汇通能源,-28.62,15.19,8.13,10.4,9.43,2112.33,1947.31,1769.61,1639.95,2003.89,0.03,0.02,0.02,0.02,0.02
600606.SH,绿地控股,-13.16,19.43,-11.91,-17.45,-24.18,41881.57,55450.28,70940.34,84568.67,23530.59,0.02,0.01,0.01,0.01,0.01
600608.SH,ST沪科,-48.57,9.64,-9.51,43.29,-21.5,1451.77,1849.74,1305.32,1445.41,2521.5,-0.72,0.24,0.26,0.22,0.29
600609.SH,金杯汽车,-47.13,28.51,44.52,-4.94,-22.42,4567.35,5823.92,6260.98,4326.96,6293.76,-0.15,0.1,0.1,0.07,0.09
600610.SH,中毅达,-69.47,235.68,224.3,193.42,18.38,8483.28,7639.13,2326.94,1674.37,2953.43,0.05,1.38,-0.07,1.02,1.19
600611.SH,大众交通,-17.89,4.71,-10.55,-1.46,-11.74,6109.96,6905.05,7086.06,8799.58,11249.32,0.01,0.01,0.01,0.01,0.01
600612.SH,老凤祥,13.09,8.14,-1.58,5.93,-2.12,17768.98,19017.01,18270.02,19798.52,18035.49,0.04,0.04,0.04,0.03,0.03
600613.SH,神奇制药,-41.88,48.45,-28.3,32.73,38,4223.17,3292.27,2499.43,3770.84,4416.75,0.02,0.01,0.01,0.01,0.01
600615.SH,丰华股份,-21.5,9.4,-43.76,33.09,-0.12,1673.61,1649.22,1257.08,2146.42,2487.9,0.04,0.03,0.03,0.02,0.03
600616.SH,金枫酒业,-50.59,6.25,189.22,-35.72,-2.98,4656.27,4816.84,7178.42,2598.83,4899.17,0.02,0.01,0.01,0.04,0.03
600617.SH,国新能源,-42.18,-1.34,-1.51,-13.44,-2.29,4235.8,4363.19,4795.06,4934.39,8051.25,0.02,0.01,0.01,0.02,0.01
600618.SH,氯碱化工,-40.72,15.98,1.22,73.05,-19.6,9109.49,11060.37,6677.73,7135.29,10192.87,0.05,0.02,0.02,0.02,0.02
600619.SH,海立股份,-25.52,-0.98,-10.34,17.01,-30.7,4887.5,5676.74,5123.03,6146.75,6819.52,0.02,0.02,0.02,0.01,0.01
600620.SH,天宸股份,-49.64,20.85,-2.74,50.62,20.94,7628.98,6331.16,4236.8,4442.8,7258.18,0.03,0.02,0.02,0.02,0.03
600621.SH,华鑫股份,-27.73,76.86,52.55,-36.97,-25.09,10959.09,14682.85,24156.68,8194.68,6488.14,0.02,0.01,0.03,0.04,0.02
600622.SH,光大嘉宝,-59.22,-8.51,-10.59,-13.39,16.78,4903.97,4379.08,5068.94,5848.77,12014.65,0.03,0.01,0.01,0.01,0.01
600623.SH,华谊集团,-4.52,-15.28,-11.06,62.7,-27.18,12739.23,18085.19,11531.98,13363.85,9403.88,0.01,0.01,0.01,0.01,0.01
600624.SH,复旦复华,-8.82,62.48,-18.7,-11.53,-16.8,3916.55,4745.05,5361.3,6634.86,4553.33,0.04,0.04,0.06,0.05,0.04
600626.SH,申达股份,-35.21,22.53,-31.52,0,-6.92,3068.25,3392.12,3224.55,4832.78,5454.66,0.02,0.02,0.01,0.01,0.01
600628.SH,新世界,-36.62,52.74,-16.72,1.38,1.22,4942.13,5013.28,5045.63,6093.57,5408.4,0.02,0.01,0.01,0.01,0.01
600629.SH,华建集团,-26.33,-6.22,-8.35,2.37,-18.9,4117.21,4146.86,4066.21,3888.33,5345.28,0.03,0.02,0.02,0.01,0.01
600630.SH,龙头股份,-32.88,10.09,-19.82,-4.21,0,2323.99,2379.22,2489.69,3224.7,4376.07,0.02,0.02,0.02,0.01,0.02
600633.SH,浙数文化,-45.98,13.59,-12.8,10.63,-3.56,10366.33,11151.09,10597.66,11912.6,19612.09,0.03,0.01,0.02,0.01,0.01
600635.SH,大众公用,-0.29,6.08,-12.98,-8.05,-20.55,7159.62,9167.22,10013.8,11876.27,11561.82,0.02,0.02,0.02,0.01,0.01
600636.SH,国新文化,-28.15,-2.8,34.63,-20.11,-11.07,4166.65,4730.42,5997.89,4540.88,6340.84,0.03,0.02,0.02,0.02,0.02
600637.SH,东方明珠,-18.49,-6.28,-1.25,10.79,-20.63,22706.43,32267.03,30525.63,31959.72,36317.11,0.02,0.01,0.01,0.01,0.01
600638.SH,新黄浦,-28.44,-15.05,0.59,-19.5,-0.45,3804.69,3858.56,4727.25,4727.25,8198.61,0.02,0.01,0.01,0.01,0.01
600639.SH,浦东金桥,-32.84,22.91,-6.46,5.22,-9.13,11160.73,12429.72,12173.23,13245.94,14380.05,0.02,0.01,0.02,0.01,0.01
600640.SH,国脉文化,-32.96,171.61,-53.59,26.26,-35.28,7678.47,12134.36,9747.28,15212.41,7827.03,0.03,0.02,0.05,0.02,0.03
600641.SH,万业企业,-29.41,114.7,28.5,77.54,-47.03,16984.11,31870.34,19321.46,15155.78,10802.53,0.02,0.01,0.02,0.03,0.04
600642.SH,申能股份,-13.84,23.87,-6.58,48.45,-23.38,26708.51,33224.07,23761.64,26447.34,26674.94,0.01,0.01,0.01,0.01,0.01
600643.SH,爱建集团,-22.97,14.92,-20.3,-6.1,-15.13,8937.45,10944.81,10807.29,13766.96,15889.03,0.02,0.01,0.01,0.01,0.01
600644.SH,乐山电力,-37.13,25.17,7.58,30.71,1.34,4194.14,4237.21,3208.87,3009.66,3795.72,0.03,0.02,0.02,0.02,0.02
600645.SH,中源协和,-43.73,4.36,17.39,30.05,-32.29,7956.77,11790.81,8059.08,6497.3,10066.7,0.07,0.02,0.02,0.03,0.03
600647.SH,*ST同达,-36.28,15.29,-13.21,-1.26,0.89,1781.04,1787.99,1669.72,1899.31,2569.98,0.07,0.06,0.07,0.06,0.06
600648.SH,外高桥,-25.55,28.58,-18.64,-3.54,-3.97,12412.52,13520.68,14262.97,17952.66,19227.92,0.02,0.01,0.02,0.01,0.01
600649.SH,城投控股,-36,5.64,-4.5,-23.04,0.34,10067.71,10396.56,13735.6,13846.93,21302.97,0.01,0.01,0.01,0.01,0.01
600650.SH,锦江在线,-34.14,9.9,-9.27,9.47,15.6,5024.97,4364.64,4225.86,4945.02,7050.24,0.02,0.02,0.02,0.01,0.02
600651.SH,飞乐音响,-65.59,37.9,-22.16,-9.85,5.01,4010.32,3560.09,3379.3,4354.67,7032.89,0.02,0.01,-0.07,0.03,0.03
600653.SH,申华控股,-30.18,8.14,-11.98,9.69,-2.65,3678.66,3834.37,3522.95,3970.62,4680.3,0.02,0.02,0.02,0.02,0.03
600654.SH,*ST中安,-63.24,-5.12,-8.62,40.93,6.39,5796.34,1857.41,1313.78,1434.58,3994.18,0.02,0.01,-0.25,0.55,-0.12
600655.SH,豫园股份,-30.75,9.78,18.82,31.7,-20.91,29584.06,16572.69,14271.1,12567.51,15436.84,0.01,0.01,0.01,0.01,0.01
600657.SH,信达地产,-28.45,4.63,4.37,-7.62,44.28,14658.66,7666.3,6173.25,6081.8,8505.37,0.01,0.01,0.01,0.01,0
600658.SH,电子城,-21.85,-11.59,2.89,-21.21,-4.42,4362.48,4608.57,6051.55,5906.13,8868.78,0.01,0.01,0.01,0.01,0.01
600660.SH,福耀玻璃,-18.15,9.11,116.41,-0.25,-24.78,70244.73,94420.78,96243.49,48051.64,58086.6,0.04,0.03,0.03,0.06,0.05
600661.SH,昂立教育,-23.69,-12.5,-12.43,-34.34,12.09,3111.92,2788.12,4286.77,4448.34,6590.91,0.05,0.03,0.05,0.05,0.05
600662.SH,外服控股,-25.25,10.79,99.18,-13.94,-15.03,6288.57,7542.07,9290.65,4782.26,5877.76,0.02,0.01,0.01,0.03,0.04
600663.SH,陆家嘴,-30.32,29.18,-17.85,6.3,-5.25,34766.19,38250.76,37004.51,47056.61,55186.69,0.05,0.03,0.03,0.02,0.02
600664.SH,哈药股份,-25.85,-4.15,-13.62,11.58,-13.1,7575.59,8899.69,7997.19,9501.36,14482.75,0.02,0.02,0.02,0.02,0.02
600665.SH,天地源,-17.8,11.76,-8.92,3.99,24.76,3188.61,2678.78,2696.06,3197.25,3689.8,0.01,0.01,0.01,0.01,0.01
600666.SH,*ST瑞德,-83.44,-27.96,-42.28,36.8,46.4,2111.72,1475.56,996.53,1768.04,13983.61,0.08,0.01,0.04,0.03,1.53
600667.SH,太极实业,-43.14,63.76,15.67,-11.69,-35.47,10867.94,17018.02,19903.5,13716.69,10673.82,0.03,0.02,0.03,0.03,0.02
600668.SH,尖峰集团,-25.47,38.17,-7.57,37.27,-32.56,4383.63,6289.85,4810.29,5436.52,5450.29,0.02,0.01,0.01,0.01,0.01
600671.SH,*ST目药,-37.51,-23.49,-29.85,5.03,9.85,1157.56,1093.05,1048.01,1499.6,3075.88,0.46,0.29,0.25,0.1,0.19
600673.SH,东阳光,8.09,43.09,-49.03,79.03,0.97,26027.52,26675.07,12368.4,25179.4,16587.56,0.04,0.03,0.05,0.02,0.03
600674.SH,川投能源,-12.31,17.94,6.55,29.3,3.74,54552.91,55076.94,44241.57,43361.08,44813.79,0.02,0.02,0.02,0.02,0.02
600675.SH,中华企业,-10.27,2.89,-26.32,-6.68,6.25,18776.1,18349.37,7527.98,10418.19,11575.77,0.03,0.03,0.02,0.01,0.01
600676.SH,交运股份,-33.18,2.29,14.9,-9.85,-7.85,3980.27,4443.09,5029.33,4443.09,6311.02,0.01,0.01,0.01,0.01,0.01
600678.SH,四川金顶,-50.35,40.35,-14.4,-0.17,-2.23,2048.57,2104.41,2128.84,2725.61,3866.81,90.5,0.3,0.26,0.14,0.09
600679.SH,上海凤凰,-49.1,22.66,12.78,-16.48,-25.51,3003.58,3218.81,3750.01,3381.9,4689.7,0.06,0.03,0.04,0.05,0.02
600681.SH,百川能源,-10.01,-16.94,-19.68,20.46,-16.47,5812.73,7527.97,7304.3,9536.26,4437.03,0.05,0.03,0.02,0.02,0.02
600682.SH,南京新百,-77.56,15.55,13.98,3.36,-24.9,10637,13701.11,13118.24,10131.8,27429.45,0.06,0.01,0.01,0.01,0.01
600683.SH,京投发展,-24.37,13.74,-2.73,45.57,-11.45,3414.98,3955.75,2970.52,3355.72,4200.21,0.02,0.01,0.01,0.01,0.01
600684.SH,珠江股份,-29.58,-12.37,-20.83,19.58,9.45,3251.69,3038.32,2560.38,3234.62,5274.39,0.02,0.01,0.01,0.01,0.01
600685.SH,中船防务,-65.18,55.94,84.11,-2.71,-11.2,17052.99,19164.08,21833.75,12116.17,14645.29,0.04,0.01,0.02,0.03,0.02
600686.SH,金龙汽车,-47.98,2.91,24.01,-25.63,-5.56,4013.73,4236.34,5217.95,4259.3,5767.04,0.02,0.01,0.01,0.02,0.01
600688.SH,上海石化,-17.15,-18.9,-7.78,25.39,-22.97,22792.61,30561.15,25211.12,28362.51,46330.39,0.03,0.02,0.01,0.01,0.01
600689.SH,上海三毛,-9.22,-5.48,-27.26,2.5,29.36,1565.16,1222.39,1222.2,1711.47,2076.79,0.05,0.05,0.04,0.03,0.03
600690.SH,海尔智家,-25.88,45.37,56.04,8.08,-16.42,154307.2,188562.64,184272.82,123016.78,114875.07,0.04,0.03,0.03,0.05,0.04
600691.SH,阳煤化工,-34.11,-14.25,12.64,117.35,-38.54,7459.34,12163,4162.65,3688.42,6428.39,0.02,0.01,0.01,0.01,0.02
600692.SH,亚通股份,-30,-9.84,11.04,-15.29,1.06,1502.01,1494.36,1785.07,1629.52,2550.11,0.05,0.03,0.03,0.03,0.02
600693.SH,东百集团,-49,-0.39,-17.66,-6.19,22.02,4248.75,3624.88,3867.14,4692.6,7032.86,0.04,0.02,0.02,0.01,0.01
600694.SH,大商股份,-26.94,13.58,-23.7,1.33,3.88,5316.31,5730.45,5962.49,8044.95,9907.13,0.01,0.01,0.01,0.01,0.01
600696.SH,岩石股份,-16.81,168.75,-9.09,225.9,-30.41,8321.6,11803.43,3913.29,4301.28,1995.71,0.38,0.06,0.17,0.15,0.24
600697.SH,欧亚集团,-27.84,-1.48,-17.53,-4.75,16.83,2169.08,1933.24,2167.53,2754.02,3990.61,0.02,0.01,0.01,0.01,0.01
600698.SH,湖南天雁,-49.03,-30.24,-15.11,123.6,-14.91,4220.7,4221.14,2063.3,2448.95,6570.14,0.12,0.07,0.06,0.03,0.07
600699.SH,均胜电子,-29.35,7.46,43.87,-12.91,-37.37,19221.59,30056.82,31376.99,22147.01,22659.59,0.02,0.02,0.02,0.03,0.02
600702.SH,舍得酒业,-52.01,32.91,191.79,158.87,-30.44,52646.8,74913.29,28324.82,9888.87,15738.42,0.06,0.03,0.04,0.09,0.17
600703.SH,三安光电,-55.93,67.39,47.15,40.96,-54.09,69985.77,153185.64,110158.26,74879.88,103551.21,0.05,0.02,0.03,0.04,0.06
600704.SH,物产中大,-31.36,20.39,-11.84,41.42,-16.22,24349.1,29968.12,22121.74,22610.08,9123.08,0.02,0.01,0.01,0.01,0.01
600705.SH,中航产融,-22.13,15.64,-7.9,-3.08,-14.11,28856.65,35281.56,38925.25,43535.18,42054.4,0.02,0.02,0.02,0.01,0.01
600706.SH,曲江文旅,-47.82,4.69,-18.31,1.88,85.16,3388.76,1543.54,1526.46,1885.12,3405.17,0.04,0.02,0.02,0.02,0.02
600707.SH,彩虹股份,-45.04,1.74,56.56,-1.63,-40.25,14852.95,16878.89,16482.9,5409.46,5439.32,0.21,0.01,0.01,0.01,0.01
600708.SH,光明地产,-32.45,5.11,-25.5,-4.49,5.04,5474.18,5318.41,5674.46,7832.98,6773.9,0.01,0.01,0.01,0.01,0
600710.SH,苏美达,-45.84,54.96,4.45,25.96,-4.83,7683.69,8546.14,7317.8,5567.92,4321.92,0.02,0.01,0.02,0.01,0.02
600711.SH,盛屯矿业,-46.66,16.72,77.17,23.38,-45.46,16491.74,27961.12,20506.76,8039.98,12709.97,0.03,0.01,0.01,0.03,0.02
600712.SH,南宁百货,-54.31,170.88,-55.81,-13.47,30.64,2730.48,2094.98,2417.29,5211.44,4217.6,0.04,0.02,0.05,0.03,0.02
600713.SH,南京医药,-31.02,12.63,-2.14,13.82,11.13,5333.05,5114.31,3993.54,4199.95,5581.99,0.02,0.01,0.01,0.01,0.01
600714.SH,金瑞矿业,-37.18,0.89,-7.21,156.47,-35.82,2495.61,3901.91,1559.03,1674.3,2580.23,0.04,0.03,0.03,0.03,0.06
600715.SH,文投控股,-80.63,-21.57,-32.43,51.5,-27.77,4488.75,6176.66,4377.45,4558.91,10078.06,0.06,0.01,0.01,0.01,0.02
600716.SH,凤凰股份,-42.93,34.48,1.93,0.79,-3.31,3660,3809.77,3847.21,3903.37,5024.42,0.02,0.01,0.01,0.01,0.01
600717.SH,天津港,-32.17,8.27,-7.31,8,1.09,11865.4,12125.86,11527.77,12621.06,17568.33,0.01,0.01,0.01,0.01,0.01
600718.SH,东软集团,-21.18,-1.77,-7.05,32.68,-27.69,11976.85,16307.48,12933.07,14100.9,18128.93,0.02,0.02,0.02,0.02,0.02
600719.SH,大连热电,-39.77,21.96,-17.93,3.86,24.05,2055.37,1666.95,1598.17,1869.25,2524.7,0.04,0.02,0.03,0.02,0.02
600720.SH,祁连山,-36.37,105.1,14.97,-18.67,-0.41,7707.3,8072.09,10540.29,9740.84,8033.28,0.01,0.01,0.01,0.01,0.01
600721.SH,百花医药,-50.55,22.5,-38.88,95.67,-14.26,2318.9,2809.76,1403.56,1958.53,3149.57,0.02,0.01,0.03,0.02,0.04
600722.SH,金牛化工,-37.58,4.05,-2.16,48.96,-30.8,3319.96,4687.4,3163.49,3224.72,4905.1,0.05,0.03,0.03,0.03,0.05
600724.SH,宁波富达,-12.53,14.88,2.59,8.26,5.63,5274.04,5302.94,5172.89,5447.43,5447.43,0.02,0.02,0.02,0.02,0.02
600725.SH,云维股份,-24.8,11.35,-34.65,124.43,-15.69,3894.61,4584.79,2107.52,3216.75,3820.66,0.14,0.1,0.11,0.07,0.14
600726.SH,*ST华源,-27.79,-23.88,38.21,28.64,-13.91,4642.46,5347.31,4080.67,3078.02,5946.04,0.02,-0.25,0.03,0.05,-0.09
600727.SH,鲁北化工,-27.26,29.96,-0.87,55.28,-35.97,2892.69,4567.63,2460,2488.07,2624.93,0.02,0.02,0.02,0.01,0.02
600728.SH,佳都科技,-16.64,37.96,-19.59,11.14,-35.25,9173.09,14408.67,13128.67,15356.38,11165.38,0.04,0.03,0.03,0.02,0.03
600729.SH,重庆百货,15.11,8.12,-0.11,2.8,5.84,9502.49,10575.22,11745.72,12131.83,10185.05,0.02,0.02,0.02,0.02,0.02
600730.SH,中国高科,-27.74,2.5,-9.59,30.9,8.21,3631.4,3349.81,2610.62,2909.81,3977.53,0.02,0.01,0.01,0.01,0.02
600731.SH,湖南海利,-41.36,73.36,12.39,35.61,-14.63,3439.28,3955.64,2669.38,2358.44,2315.97,0.03,0.01,0.02,0.02,0.02
600732.SH,爱旭股份,-41.09,74.67,106.22,52.21,65.7,31880.41,15595.56,7128.74,3477.32,3374.66,0.07,0.05,0.07,0.07,0.09
600733.SH,北汽蓝谷,-45.41,-27.19,51.23,15.98,-41.74,23277.85,27074.06,15819.74,9848.24,3793.61,0.54,0.02,0.01,0.02,0.03
600734.SH,ST实达,-33.96,8.33,-82.92,151.01,206.58,7694.42,1615.53,647.28,3525.32,3310.9,0.02,0.01,0.02,-0.01,-0.01
600735.SH,新华锦,-54.81,30.74,-23.99,33.74,-5,2660.83,2500.35,1876.2,2496.59,4222.39,0.05,0.02,0.03,0.02,0.03
600736.SH,苏州高新,-9.32,11.12,-18.05,-0.87,4.67,5388.05,5284.43,5411.08,6712.04,6731.2,0.02,0.01,0.01,0.01,0.01
600737.SH,中粮糖业,-5.4,15.34,16.64,-2.38,-25.3,14843.61,19844.33,20435.44,17358.87,16312.42,0.02,0.02,0.02,0.02,0.02
600738.SH,丽尚国潮,-22.48,6.98,34.71,-5.12,21.07,5476.8,4698.6,4753.8,2033.44,2905.09,0.03,0.01,0.02,0.03,0.03
600739.SH,辽宁成大,-40.72,46.95,62.96,-17.24,-33.35,19259.05,29859.94,37202.54,23297.48,24018.89,0.01,0.01,0.01,0.02,0.01
600740.SH,山西焦化,-18.57,-4.83,5.8,39.54,-11.6,13861.08,15910.77,5671.63,4899.97,6423.82,0.04,0.01,0.01,0.01,0.01
600741.SH,华域汽车,-36.03,49.57,18.15,0.98,-36.62,54636.71,89222.09,90861.51,81939.3,85106.66,0.02,0.01,0.02,0.02,0.02
600742.SH,一汽富维,-25.65,28.43,9.72,28.29,-29.36,5672.38,8002.69,6717.97,6137.56,6984.5,0.02,0.01,0.01,0.01,0.01
600743.SH,华远地产,-32.35,7.94,-7.73,-6.2,-4.18,4434.13,4645.28,5091.04,5841.79,8586.73,0.01,0.01,0.01,0.01,0.01
